PartitionKey,FileType,ObjectName,HighLevelObject,ObjectDb,FileName,LineNumber,LinesOfCode,HighestEWISeverity,ConversionStatus,EWIs,UDFsUsed,NameOfUDFFiles,CharConversionPercentage,LoCConversionPercentage,EWIsNumber,ObjectDB,DeploymentOrder,CharacterCount
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,INTERVAL_DATA,CREATE / REPLACE VIEW,PRODUCT_VIEWS,02-views.sql,134,18,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,PERIOD_INTERVAL_BEGIN,CREATE / REPLACE VIEW,PRODUCT_VIEWS,02-views.sql,154,19,Low,Fully Converted,MSCEWI1020 | MSCEWI2053 | MSCEWI1050,,,--,100%,7,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,MY_VIEW_11,CREATE / REPLACE VIEW,ORG_DEV,03-views-reorder-dependencies.sql,20,3,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,MY_VIEW_12,CREATE / REPLACE VIEW,ORG_DEV,03-views-reorder-dependencies.sql,26,3,Low,Fully Converted,MSCEWI1050,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,MY_VIEW_1,CREATE / REPLACE VIEW,ORG_DEV,03-views-reorder-dependencies.sql,34,3,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,MY_VIEW_2,CREATE / REPLACE VIEW,ORG_DEV,03-views-reorder-dependencies.sql,40,3,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,MY_VIEW_3,CREATE / REPLACE VIEW,ORG_DEV,03-views-reorder-dependencies.sql,46,3,Low,Fully Converted,MSCEWI1050,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,table_101,CREATE TABLE,ORG_DEV,macro/05-macro-plus.sql,23,5,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,macro_1,CREATE MACRO,ORG_DEV,macro/05-macro-plus.sql,30,11,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,TABLE1,CREATE TABLE,ORG_DEV,macro/05-macro-plus.sql,45,10,Low,Fully Converted,MSCEWI1036 | MSCEWI2015,,,--,100%,2,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,MacroSample01,CREATE MACRO,Undefined DB name,macro/05-macro-plus.sql,57,5,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,ProcedureSample01,CREATE / REPLACE PROCEDURE,Undefined DB name,macro/05-macro-plus.sql,65,21,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,ProcedureSample02,CREATE / REPLACE PROCEDURE,Undefined DB name,macro/05-macro-plus.sql,94,10,Medium,Partially Converted,MSCEWI1021,,,--,100%,3,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,ProcedureSample03,CREATE / REPLACE PROCEDURE,Undefined DB name,macro/05-macro-plus.sql,114,20,Low,Fully Converted,MSCEWI1038,,,--,100%,1,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,DYNAMIC_RESULT_SETS,CREATE / REPLACE PROCEDURE,ORG_DEV,procedure/04-procedures.sql,24,13,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,FOR_STATEMENT,CREATE / REPLACE PROCEDURE,ORG_DEV,procedure/04-procedures.sql,48,14,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,"""CURSORS""",CREATE / REPLACE PROCEDURE,"""SNOWCONVERT""",procedure/04-procedures.sql,66,34,,Fully Converted,,,,--,100%,0,,,
8c246674-3b68-41de-8096-c333d8a01bcc,SQL,CREATE_INSERTS,CREATE / REPLACE PROCEDURE,ORG_DEV,procedure/04-procedures.sql,120,78,Low,Fully Converted,MSCEWI1038,,,--,100%,11,,,
8c246674-3b68-41de-8096-c333d8a01bcc,BTEQ,TABLE1,CREATE TABLE,Undefined DB name,script/06-bteq_sample_1.btq,30,10,,Fully Converted,,,,--,100%,0,,,
